,"time_point","S","I","R"
"166",82.5,1.04904991507562,12.3369521934492,86.6139978914752
"167",83.,1.03567446975993,12.1059061352524,86.8584193949877
"168",83.5,1.02271535951254,11.8790229476364,87.098261692851
"169",84.,1.01015679219723,11.6562357651004,87.3336074427024
"170",84.5,.997983683285531,11.437478315267,87.5645380014475
"171",85.,.98618165232021,11.2226850798151,87.7911332678647
"172",85.5,.974737051941636,11.0117912022059,88.0134717458525
"173",86.,.963636762588931,10.8047325223384,88.2316307150727
"174",86.5,.952868190134041,10.6014455775229,88.445686232343
"175",87.,.942419265881741,10.4018676024804,88.6557131316379
"176",87.5,.932278446569628,10.2059365293429,88.8617850240875
"177",88.,.922434714368127,10.0135909876536,89.0639742979783
"178",88.5,.912877527846342,9.82477032166115,89.2623521504925
"179",89.,.903596784002835,9.6394147311643,89.4569884848328
"180",89.5,.894582904023288,9.45746523389237,89.6479518620844
"181",90.,.885826659970411,9.27886360291397,89.8353097371156
"182",90.5,.877319167377085,9.1035523661732,90.0191284664497
"183",91.,.869051885246356,8.9314748064896,90.1994733082641
"184",91.5,.861016616051435,8.76257496155818,90.3764084223904
"185",92.,.8532055057357,8.59679762394941,90.5499968703149
"186",92.5,.845611043499909,8.43408834099718,90.720300615503
"187",93.,.838225988869392,8.27439341608543,90.8873805950452
"188",93.5,.831043443507993,8.11766006596138,91.0512964905307
"189",94.,.824056812762464,7.96383631669489,91.2121068705427
"190",94.5,.817259725605299,7.81287093305506,91.3698693413397
"191",95.,.810646034634738,7.66471341851015,91.5246405468551
"192",95.5,.804209816074767,7.51931401522764,91.6764761686976
"193",96.,.797945369775117,7.3766237040742,91.8254309261507
"194",96.5,.791847219211262,7.23659420461568,91.9715585761731
"195",97.,.785910111484422,7.09917797511716,92.1149119133984
"196",97.5,.780128986622566,6.96432818802591,92.2555428253516
"197",98.,.774498976967737,6.83199883772906,92.3935021853032
"198",98.5,.769015448835105,6.70214475846379,92.5288397927011
"199",99.,.763673916404037,6.57472146800113,92.6616046155948
"200",99.5,.758470039614029,6.44968516468817,92.7918447956978
"201",100.,.75339962416471,6.32699272744803,92.9196076483873
