time_point,real_infected,dd_infected,dd_scaled_infected,ff_infected,ff_scaled_infected,dd_error,dd_scaled_error,ff_error,ff_scaled_error,dd_error_sq,dd_scaled_error_sq,ff_error_sq,ff_scaled_error_sq
5,5.47,2.29832350648968,10.5764792143329,2.42031890776803,6.7323014942545,3.17167649351032,-5.106479214332901,3.0496810922319697,-1.2623014942545003,10.059531779485917,26.076129966413962,9.30055476431718,1.5934050623971443
5.5,5.82,2.49505781154188,11.9930335351745,2.64154901241461,7.33206743608613,3.3249421884581203,-6.1730335351745005,3.17845098758539,-1.51206743608613,11.055240556588675,38.10634302638899,10.102550680482542,2.2863479312720827
6,3.48,2.70790820192205,13.5745161450351,2.88233215417305,7.98193988472279,0.77209179807795,-10.094516145035099,0.5976678458269498,-4.501939884722789,0.596125744659242,101.89925620237427,0.3572068539354266,20.267462725657843
6.5,5.81,2.9380663730956,15.3332644497423,3.14426862129125,8.68549021509926,2.8719336269044,-9.5232644497423,2.6657313787087498,-2.875490215099261,8.24800275734426,90.6925657797255,7.1061237834324515,8.268443977131595
7,5.45,3.18678905154041,17.2806588544632,3.4290665209263,9.44643066784854,2.2632109484595904,-11.830658854463202,2.0209334790737,-3.99643066784854,5.122123797227359,139.96448893068856,4.0841721268409295,15.971458082920329
7.5,8.86,3.45539772149879,19.4265299734722,3.73854228289132,10.2685990711715,5.404602278501209,-10.5665299734722,5.1214577171086795,-1.4085990711715013,29.209725788780464,111.6515556802864,26.229329148132045,1.9841513433052163
8,5.99,3.74527721372502,21.7784822321053,4.07462406454927,11.1559346919563,2.24472278627498,-15.7884822321053,1.9153759354507303,-5.1659346919563,5.03878038722211,249.27617119350478,3.66866497410376,26.686881241557636
8.5,9.96,4.05787242397684,24.3411280994826,4.43935025577278,12.1124536689185,5.902127576023161,-14.381128099482599,5.520649744227221,-2.1524536689184988,34.83510992365303,206.81684541372798,30.47757359843608,4.633056796840706
9,9.08,4.39468541015173,27.1153251913915,4.8348694959987,13.1422109505318,4.68531458984827,-18.0353251913915,4.2451305040013,-4.062210950531799,21.95217280584506,325.27295475924086,18.02113299600233,16.501557806620465
9.5,8.82,4.75726861712624,30.0973851311159,5.26343693368754,14.2492620247811,4.062731382873761,-21.2773851311159,3.55656306631246,-5.429262024781099,16.505786289387338,452.72711801783197,12.649140844657888,29.476886133730165
10,7.45,5.14721884878417,33.2783988254569,5.72740868250379,15.4376115278345,2.3027811512158305,-25.828398825456897,1.7225913174962102,-7.9876115278345,5.302801030394906,667.1061858868633,2.967320847113329,63.80193791959459
10.5,9.54,5.56616746799582,36.6436912162922,6.22923504541584,16.7111542344834,3.973832532004179,-27.103691216292198,3.310764954584159,-7.171154234483399,15.791344992414746,734.6100775481149,10.961164584502649,51.42545305474919
