,"time_point","S","I","R"
"73",36.,1.71709368601859,64.6514520072474,84.9514543067341
"74",36.5,1.60538635837209,63.4818493829629,86.232764258665
"75",37.,1.502779297669,62.3263980766082,87.4908226257228
"76",37.5,1.40842753066518,61.1856542264628,88.725918242872
"77",38.,1.32157092931442,60.0600791336447,89.9383499370409
"78",38.5,1.24152711964554,58.9500478503655,91.1284250299889
"79",39.,1.16768195737099,57.8558605498089,92.2964574928201
"80",39.5,1.09948203192038,56.7777513337205,93.4427666343591
"81",40.,1.03642941471925,55.7158946825805,94.5676759027002
"82",40.5,.978074137640249,54.6704142519101,95.6715116104496
"83",41.,.924010187408471,53.6413876571099,96.7546021554816
"84",41.5,.873871023838386,52.6288519127392,97.8172770634224
"85",42.,.827324355709096,51.6328094530519,98.859866191239
"86",42.5,.784069770401461,50.6532310341842,99.8826991954143
"87",43.,.743835082464375,49.6900600932286,100.886104824307
"88",43.5,.706372872306926,48.7432166805253,101.870410447168
"89",44.,.671458879328325,47.8125994575545,102.835941663117
"90",44.5,.638889304322315,46.8980888839215,103.783021811756
"91",45.,.608478333449129,45.9995499754199,104.711971691131
"92",45.5,.58005705181979,45.1168336553191,105.623109292861
"93",46.,.55347162766994,44.2497789137775,106.516749458553
"94",46.5,.528581322056017,43.3982149642772,107.393203713667
"95",47.,.505257776597513,42.5619620963791,108.252780127023
"96",47.5,.483383908061296,41.7408330529591,109.09578303898
"97",48.,.462852277641532,40.9346347405897,109.922512981769
"98",48.5,.443564522933336,40.1431688438195,110.733266633247
"99",49.,.425430689360932,39.3662326924851,111.528336618154
"100",49.5,.4083682174656,38.6036203395172,112.308011443017
"101",50.,.392301105590269,37.8551233813613,113.072575513048
"102",50.5,.377159622322492,37.1205312982061,113.822309079471
"103",51.,.362879791914022,36.3996321256517,114.557488082434
"104",51.5,.349402559339928,35.6922132099427,115.278384230717
"105",52.,.33667345268002,34.9980615170434,115.985265030277
"106",52.5,.324642328894343,34.3169639369648,116.678393734141
"107",53.,.313263041616043,33.648707719573,117.358029238811
"108",53.5,.302492816561168,32.9930809509984,118.02442623244
"109",54.,.292292077359415,32.349872694137,118.677835228504
"110",54.5,.282624274944644,31.7188731765427,119.318502548513
"111",55.,.273455676772642,31.0998741053148,119.946670217913
"112",55.5,.264754939838859,30.4926689151343,120.562576145027
"113",56.,.256492929468724,29.897052882921,121.16645418761
"114",56.5,.248642668283613,29.3128231719951,121.758534159721
"115",57.,.241179150669445,28.739779093774,122.339041755557
"116",57.5,.234079168357264,28.1777222078577,122.908198623785
"117",58.,.227321034873566,27.62645641412,123.466222551006
"118",58.5,.220884572813098,27.0857879591553,124.013327468032
"119",59.,.21475102325401,26.5555255071877,124.549723469558
"120",59.5,.208902961545191,26.0354803283316,125.075616710123
"121",60.,.203324116627122,25.5254662784395,125.591209604933
"122",60.5,.197999237482138,25.0252998039122,126.096700958606
"123",61.,.192914093113819,24.5347999417053,126.592285965181
"124",61.5,.188055408366549,24.053788349772,127.078156241861
"125",62.,.183410808818578,23.5820894689614,127.55449972222
"126",62.5,.178968716202697,23.1195304443107,128.021500839487
"127",63.,.174718234103863,22.6659410703151,128.479340695581
"128",63.5,.170649147689531,22.2211537908925,128.928197061418
"129",64.,.166751909914455,21.785003694916,129.368244395169
"130",64.5,.163017565548522,21.3573285941444,129.799653840307
"131",65.,.159437757511479,20.9379690853746,130.222593157114
"132",65.5,.156004595152769,20.5267683620789,130.637227042768
"133",66.,.15271063783331,20.12357219777,131.043717164397
"134",66.5,.149548894925498,19.7282289460005,131.442222159074
"135",67.,.146512809241029,19.3405895238502,131.832897666909
"136",67.5,.143596207974421,18.9605074845717,132.215896307454
"137",68.,.140793314552898,18.5878390590156,132.591367626431
"138",68.5,.138098653201162,18.2224429170329,132.959458429766
"139",69.,.135507041620564,17.8641801533491,133.32031280503
"140",69.5,.133013590989108,17.5129142875648,133.674072121446
"141",70.,.130613703977815,17.1685112588703,134.020875037152
"142",70.5,.128303030300986,16.8308393808977,134.360857588801
"143",71.,.12607749441218,16.4997695566945,134.694152948893
"144",71.5,.123933234652559,16.1751749956441,135.020891769703
"145",72.,.121866578386045,15.8569311228853,135.341202298729
"146",72.5,.119874041999325,15.5449155793122,135.655210378688
"147",73.,.117952330901846,15.2390082215742,135.963039447524
"148",73.5,.116098336951915,14.9390911106705,136.264810552378
"149",74.,.114309104896035,14.6450484456915,136.560642449412
"150",74.5,.112581862446124,14.3567668267496,136.850651310804
"151",75.,.110913972945679,14.0741349189306,137.134951108124
"152",75.5,.10930292000019,13.7970433639062,137.413653716094
"153",76.,.107746307477143,13.525384779934,137.686868912589
"154",76.5,.106241859506015,13.2590537618572,137.954704378637
"155",77.,.104787420478278,12.997946881105,138.217265698417
"156",77.5,.103380943188374,12.7419626130415,138.47465644377
"157",78.,.102020481100048,12.4910014413336,138.726978077566
"158",78.5,.100704201227272,12.2449659351498,138.974329863623
"159",79.,.0994303473692801,12.0037603985201,139.216809254111
"160",79.5,.098197238952494,11.767290860816,139.454511900232
"161",80.,.097003271030519,11.53546507675,139.687531652219
"162",80.5,.0958469142841456,11.3081925263763,139.91596055934
"163",81.,.0947267150213493,11.0853844150904,140.139888869888
"164",81.5,.0936412903609133,10.8669536230143,140.359405086625
"165",82.,.0925893151599601,10.6528146820658,140.574596002774
"166",82.5,.0915695436651894,10.4428840738136,140.785546382521
"167",83.,.090580780480427,10.2370797980386,140.992339421481
"168",83.5,.0896218772677362,10.0353213300042,141.195056792728
"169",84.,.0886917327474186,9.83752962045674,141.393778646796
"170",84.5,.0877892926980132,9.64362709562526,141.588583611677
"171",85.,.0869135499562973,9.45353765722175,141.779548792822
"172",85.5,.0860635444172858,9.26718668244097,141.966749773142
"173",86.,.0852383592704953,9.08450097090166,142.150260669828
"174",86.5,.0844371140727444,8.90540875716559,142.330154128762
"175",87.,.083658977133163,8.72983991837641,142.50650110449
"176",87.5,.0829031477691723,8.55772560481883,142.679371247412
"177",88.,.082168854859709,8.38899821411416,142.848832931026
"178",88.5,.0814553568452255,8.22359139122026,143.014953251935
"179",89.,.0807619417276897,8.06144002843162,143.177798029841
"180",89.5,.0800879270705849,7.90248026537928,143.33743180755
"181",90.,.0794326599989101,7.74664948903089,143.49391785097
"182",90.5,.0787955155597427,7.59388630024302,143.647318184197
"183",91.,.0781758915620695,7.44413048569974,143.797693622738
"184",91.5,.0775732169723353,7.29732323224712,143.945103550781
"185",92.,.0769869412061256,7.15340681131202,144.089606247482
"186",92.5,.0764165327472576,7.01232454410738,144.231258923145
"187",93.,.0758614791477793,6.87402080163221,144.37011771922
"188",93.5,.0753212870279703,6.73844100467157,144.5062377083
"189",94.,.0747954820763413,6.60553162379657,144.639672894127
"190",94.5,.0742836090496342,6.4752401793644,144.770476211586
"191",95.,.0737852310315707,6.3475152199994,144.898699548969
"192",95.5,.0732999259556576,6.22230627476307,145.024393799281
"193",96.,.0728272921540562,6.09956405913377,145.147608648712
"194",96.5,.0723669417868981,5.9792402113317,145.268392846881
"195",97.,.0719184996531568,5.86128725105841,145.386794249288
"196",97.5,.0714816031906467,5.74565857949673,145.502859817313
"197",98.,.0710559024760239,5.63230847931078,145.616635618213
"198",98.5,.070641060224786,5.52119211464601,145.728166825129
"199",99.,.0702367517912718,5.41226553112913,145.83749771708
"200",99.5,.0698426648306099,5.30548564247261,145.944671692697
"201",100.,.0694584969805364,5.20081017495118,146.049731328068
