,"time_point","S","I","R"
"40",19.5,87.8029639700369,55.7706442146837,7.74639181527937
"41",20.,84.3668873260681,58.6347105697492,8.31840210418268
"42",20.5,80.8890184088357,61.5118528059484,8.91912878521585
"43",21.,77.3834703122197,64.3878952226359,9.54863446514434
"44",21.5,73.864943072774,67.2482226934357,10.2068342337904
"45",22.,70.3483491556201,70.0781532028336,10.8934976415463
"46",22.5,66.8486246002522,72.86312782091,11.6082475788379
"47",23.,63.3805493340978,75.5888884016399,12.3505622642622
"48",23.5,59.9584486340126,78.2417696799256,13.1197816860618
"49",24.,56.5958955409202,80.8089917688904,13.9151126901894
"50",24.5,53.3056029494886,83.2787604477374,14.735636602774
"51",25.,50.0992330130907,85.6404409758363,15.580326011073
"52",25.5,46.9871791163009,87.8847662048774,16.4480546788217
"53",26.,43.9785080866472,90.0038873602432,17.3376045531096
"54",26.5,41.0808984408523,91.9914107063179,18.2476908528298
"55",27.,38.3005899616518,93.8424338581105,19.1769761802377
"56",27.5,35.6423731791918,95.5535513134412,20.124075507367
"57",28.,33.1096366597394,97.1227882712641,21.0875750689965
"58",28.5,30.7044395154719,98.5495051591849,22.0660553253432
"59",29.,28.4275939118716,99.8343135316637,23.0580925564647
"60",29.5,26.2787499197364,100.978976214917,24.0622738653467
"61",30.,24.2565369240634,101.986249591212,25.077213484725
"62",30.5,22.3586837556512,102.859762774573,26.1015534697757
"63",31.,20.5821266155693,103.603896254976,27.1339771294548
"64",31.5,18.923165839024,104.22361753192,28.1732166290558
"65",32.,17.3775660393757,104.724380925048,29.2180530355764
"66",32.5,15.9406808734373,105.111992339485,30.2673267870778
"67",33.,14.6075646118605,105.392499463938,31.3199359242018
"68",33.5,13.3730580716334,105.57210164211,32.374840286257
"69",34.,12.231889432985,105.657048127922,33.4310624390929
"70",34.5,11.1787369156247,105.653576610034,34.4876864743416
"71",35.,10.2083053750232,105.567834921677,35.5438597032997
"72",35.5,9.31537133932429,105.405839675941,36.5987889847349
"73",36.,8.49483618561338,105.173422103519,37.6517417108674
"74",36.5,7.7417550147961,104.876203556894,38.7020414283098
"75",37.,7.05137069972668,104.519561628768,39.7490676715055
"76",37.5,6.41912922495883,104.108619106716,40.792251668325
"77",38.,5.8406987320444,103.648226067265,41.8310752006909
"78",38.5,5.31197455174917,103.142958825932,42.865066622319
"79",39.,4.82908715079561,102.597113735864,43.8937991133407
"80",39.5,4.38839974560641,102.014713195596,44.9168870587971
"81",40.,3.98650869296395,101.399507277048,45.9339840299878
"82",40.5,3.62023595607241,100.754984549778,46.9447794941497
"83",41.,3.28662488957017,100.084378326788,47.9489967836417
"84",41.5,2.98292936673431,99.3906805321027,48.946390101163
"85",42.,2.70660710024343,98.6766502717234,49.9367426280331
"86",42.5,2.45530692487763,97.9448292585701,50.9198638165522
"87",43.,2.22686104036039,97.1975512615403,51.8955876980993
"88",43.5,2.01927165252521,96.436957877893,52.8637704695818
"89",44.,1.83070294591962,95.6650080461922,53.8242890078882
"90",44.5,1.65946801155261,94.8834932291991,54.7770387592483
"91",45.,1.50402094994194,94.0940466118836,55.7219324381744
"92",45.5,1.36294478009626,93.2981569939932,56.6588982259105
"93",46.,1.23494378273566,92.4971776017005,57.5878786155638
"94",46.5,1.11883288225533,91.6923381968408,58.5088289209039
"95",47.,1.01353022723894,90.884753541157,59.4217162316041
"96",47.5,.918048266541512,90.0754335183102,60.3265182151483
"97",48.,.831486613961377,89.2652912219096,61.223222164129
"98",48.5,.753024771829742,88.4551511748299,62.1118240533404
"99",49.,.681915397723547,87.6457569252974,62.9923276769791
"100",49.5,.617478462010899,86.8377776249563,63.8647439130328
"101",50.,.559095058092691,86.0318149866964,64.7290899552109
"102",50.5,.506202714604645,85.2284085485639,65.5853887368314
"103",51.,.458289867202767,84.4280418706307,66.4336682621666
"104",51.5,.414892054388431,83.6311467969265,67.273961148685
"105",52.,.375587115860256,82.838108825877,68.1063040582627
"106",52.5,.339992049051744,82.0492706249188,68.9307373260294
"107",53.,.307758944866547,81.2649365678813,69.7473044872523
"108",53.5,.278572330359974,80.4853757006372,70.5560519690028
"109",54.,.25214581466456,79.7108254797876,71.3570287055478
"110",54.5,.228219793256342,78.9414943305052,72.1502858762386
"111",55.,.206558735785492,78.1775646655101,72.9358765987045
"112",55.5,.186949185796007,77.4191951103345,73.7138557038695
"113",56.,.169197587588809,76.6665229191478,74.4842794932634
"114",56.5,.153128551972543,75.919665901323,75.2472055467044
"115",57.,.138583114937877,75.1787243547725,76.0026925302897
"116",57.5,.125417252214026,74.4437827138402,76.7508000339458
"117",58.,.113500473993236,73.7149111075284,77.4915884184784
"118",58.5,.102714573172019,72.9921667462027,78.2251186806254
"119",59.,.0929524759886641,72.2755951943483,78.9514523296631
"120",59.5,.084117208718282,71.5652315135621,79.6706512777197
"121",60.,.0761209382961992,70.8611013234181,80.3827777382857
"122",60.5,.0688841429464469,70.1632217173499,81.0878941397037
"123",61.,.0623347884282345,69.4716021721477,81.7860630394241
"124",61.5,.0564076889815754,68.7862452523028,82.4773470587156
"125",62.,.0510437761942296,68.1071474158678,83.161808807938
"126",62.5,.0461896333150651,67.4342995265207,83.8395108401643
"127",63.,.0417968319214793,66.7676875832551,84.5105155848234
"128",63.5,.0378216064850373,66.1072930772284,85.1748853162865
"129",64.,.0342242658422595,65.4530936376073,85.8326820965505
"130",64.5,.0309689468819314,64.8050633009285,86.4839677521896
"131",65.,.028023137601778,64.163173032823,87.1288038295752
"132",65.5,.0253574383262315,63.5273909886824,87.7672515729914
"133",66.,.0229452378587591,62.8976828662936,88.3993718958477
"134",66.5,.0207624239686164,62.2740122212183,89.025225354813
"135",67.,.0187872215359055,61.6563406417547,89.6448721367094
"136",67.5,.0169998693624015,61.0446280995984,90.2583720310391
"137",68.,.0153825259059422,60.4388330511384,90.8657844229556
"138",68.5,.0139190262716178,59.8389126992659,91.4671682744625
"139",69.,.012594726797449,59.2448231606826,92.0625821125199
"140",69.5,.0113964149068353,58.656519561535,92.6520840235581
"141",70.,.0103120911424125,58.0739562707296,93.235731638128
"142",70.5,.00933091876436092,57.4970869530262,93.8135821282095
"143",71.,.00844309937307235,56.9258647001953,94.3856922004316
"144",71.5,.00763973468335958,56.3602421774578,94.9521180878588
"145",72.,.00691280424287934,55.8001716458439,95.5129155499132
"146",72.5,.00625504159240295,55.2456050912795,96.0681398671281
"147",73.,.00565985052656263,54.6964943119687,96.6178458375047
"148",73.5,.00512129246136878,54.1527909301618,97.1620877773768
"149",74.,.00463398227158633,53.6144464987861,97.7009195189423
"150",74.5,.00419302978898306,53.0814125613091,98.2343944089019
"151",75.,.00379403493178616,52.5536406552899,98.7625653097783
"152",75.5,.00343301145689605,52.0310823882625,99.2854846002806
"153",76.,.00310633420393264,51.5136894904694,99.8032041753267
"154",76.5,.0028107374750112,51.0014138151945,100.31577544733
"155",77.,.00254327526568061,50.4942073762653,100.823249348469
"156",77.5,.00230126317414432,49.9920224042207,101.325676332605
"157",78.,.00208227136754798,49.4948113521681,101.823106376464
"158",78.5,.001884122261259,49.0025268962728,102.315588981466
"159",79.,.00170483310893775,48.5151219882291,102.803173178662
"160",79.5,.00154260041566669,48.0325498693324,103.285907530252
"161",80.,.0013958004891128,47.5547640684711,103.76384013104
"162",80.5,.00126297522158579,47.0817184129259,104.237018611853
"163",81.,.00114279249236843,46.6133670617942,104.705490145713
"164",81.5,.00103404159177101,46.1496645094628,105.169301448945
"165",82.,.00093563557166052,45.6905655818837,105.628498782545
"166",82.5,.000846598566820666,45.2360254449042,106.083127956529
"167",83.,.000766037483697044,44.7859996251064,106.53323433741
"168",83.5,.000693139819875133,44.340444011155,106.978862849025
"169",84.,.000627173917820664,43.899314851677,107.420057974405
"170",84.5,.000567488308387225,43.4625687541013,107.85686375759
"171",85.,.000513486397452388,43.0301626991524,108.28932381445
"172",85.5,.000464623684593485,42.6020540423928,108.717481333923
"173",86.,.000420405763223451,42.1782005139791,109.141379080258
"174",86.5,.00038039415266289,41.7585602138575,109.56105939199
"175",87.,.000344193550185278,41.3430916155897,109.97656419086
"176",87.5,.000311440726860133,40.9317535696893,110.387934989584
"177",88.,.000281804498021867,40.524505303628,110.795212891874
"178",88.5,.000254983857435425,40.1213064202006,111.198438595942
"179",89.,.000230714250950882,39.7221168949288,111.59765239082
"180",89.5,.000208756883789054,39.326897075031,111.992894168085
"181",90.,.000188891766696608,38.9356076784562,112.384203429777
"182",90.5,.000170917715946053,38.5482097938844,112.7716192884
"183",91.,.000154651503287848,38.1646648794432,113.155180469054
"184",91.5,.000139929905826543,37.7849347601324,113.534925309962
"185",92.,.00012661017606307,37.4089816276822,113.910891762142
"186",92.5,.000114560479793543,37.0367680325322,114.283117406988
"187",93.,.000103659403585356,36.66825688335,114.651639457246
"188",93.5,9.37959547771777e-005,36.3034114470313,115.016494757014
